,years_competed,finish_placements,finish_marks,country
Tiffany Lott-Hogan,['1999'],[''],['DNF'],USA
Mona Steigauf,['1997'],['6'],['6406'],GER
Peggy Beer,"['1997', '1995', '1991']","['9', '', '7']","['6259', 'DNF', '6380']",GER
Kelly Blair-LaBounty,"['1997', '1995']","['10', '10']","['6253', '5376']",USA
Nathalie Teppe,"['1997', '1995', '1993']","['11', '12', '14']","['6242', '5359', '6037']",FRA
Tatyana Gordeyeva,['1997'],['13'],['6084'],RUS
Joanne Henry,"['1997', '1995', '1991']","['15', '', '18']","['6011', 'DNF', '5999']",NZL
Inma Clopés,['1997'],['16'],['5631'],ESP
Svetlana Moskalets,"['1997', '1995']","['', '2']","['DNF', '5701']",RUS
Athína Papasotiríou,['1997'],[''],['DNF'],GRE
Kym Carter,"['1997', '1995', '1993', '1991']","['', '11', '6', '20']","['DNF', '5371', '6357', '5909']",USA
Chun-Ping Ma,"['1997', '1995', '1993']","['', '', '20']","['DNF', 'DNF', '5246']",TPE
Regla Maria Cárdenas,['1995'],['4'],['5470'],CUB
Irina Tyukhay,['1995'],['8'],['5421'],RUS
Sharon Jaklofsky,"['1995', '1991']","['13', '19']","['5312', '5992']",NED
Tina Rättyä,"['1995', '1993', '1991']","['16', '13', '13']","['5180', '6067', '6086']",FIN
Anzhela Atroshchenko,"['1995', '1993']","['18', '']","['5146', 'DNF']",BLR
Yelena Lebedenko,['1995'],['19'],['5122'],RUS
Karin Periginelli,['1995'],['20'],['4702'],ITA
Manuela Marxer,"['1995', '1993']","['', '']","['DNF', 'DNF']",LIE
Dagmar Urbánková,['1995'],[''],['DNF'],CZE
Heike Drechsler,['1995'],[''],['DNF'],GER
Jackie Joyner-Kersee,"['1993', '1991']","['1', '']","['6837', 'DNF']",USA
Svetlana Buraga,['1993'],['3'],['6635'],BLR
Svetla Pishtikova,['1993'],['4'],['6508'],BUL
Jane Flemming,['1993'],['7'],['6343'],AUS
Birgit Clarius,['1993'],['8'],['6341'],GER
Taisa Dabrovitskaya,['1993'],['9'],['6290'],BLR
Tatyana Zhuravlyova,"['1993', '1991']","['10', '8']","['6215', '6370']",RUS
Petra Vaideanu,"['1993', '1991']","['12', '22']","['6105', '5744']",ROU
Helle Aro,['1993'],['15'],['5902'],FIN
Marcela Podracká,['1993'],['16'],['5902'],SVK
Yurka Khristova,['1993'],['18'],['5726'],BUL
Beatrice Mau-Repnak,['1993'],['19'],['5359'],GER
Marina Mihajlova-Damceska,['1993'],['21'],['5239'],MKD
Giuliana Spada,['1993'],['22'],['5214'],ITA
Barbara Erni,['1993'],['23'],['5067'],SUI
Elizabeth Arteaga,['1993'],['24'],['4186'],BOL
Tatyana Blokhina,['1993'],[''],['DNF'],RUS
Larisa Nikitina,['1993'],[''],['DNF'],RUS
Clova Court,"['1993', '1991']","['', '16']","['DNF', '6022']",GBR
Véronique Boyer,['1993'],[''],['DNF'],PYF
Maria Kamrowska,"['1993', '1991']","['', '9']","['DNF', '6237']",POL
Liliana Alexandru,['1991'],['2'],['6493'],ROU
Satu Ruotsalainen,['1991'],['4'],['6404'],FIN
Yasmina Azzizi-Kettab,['1991'],['5'],['6392'],ALG
Cindy Greiner,['1991'],['10'],['6216'],USA
Yuqing Zhu,['1991'],['12'],['6124'],CHN
Ragne Kytölä,['1991'],['14'],['6062'],FIN
Ifeoma Ozoeze,['1991'],['15'],['6056'],ITA
Odile Lesage,['1991'],['17'],['6002'],FRA
Ingrid Didden,['1991'],['21'],['5855'],BEL
Ana María Comaschi,['1991'],['23'],['5617'],ARG
Long Nyu Yu,['1991'],[''],['DNF'],SGP
Xiuhong Fu,['1991'],[''],['DNF'],CHN
Heike Tischler,['1991'],[''],['DNF'],GER
